video_id,insightTrafficSourceType,views
MK5YtrPMrWQ,YT_CHANNEL,41.0
MK5YtrPMrWQ,YT_SEARCH,68.0
MK5YtrPMrWQ,YT_OTHER_PAGE,8.0
MK5YtrPMrWQ,EXT_URL,39.0
MK5YtrPMrWQ,PLAYLIST,1.0
MK5YtrPMrWQ,NOTIFICATION,50.0
MK5YtrPMrWQ,SHORTS,310.0
BUiwu47RH84,NO_LINK_OTHER,53.0
BUiwu47RH84,SUBSCRIBER,1514.0
BUiwu47RH84,YT_CHANNEL,65.0
BUiwu47RH84,YT_SEARCH,20.0
BUiwu47RH84,RELATED_VIDEO,41.0
BUiwu47RH84,YT_OTHER_PAGE,23.0
BUiwu47RH84,EXT_URL,70.0
BUiwu47RH84,PLAYLIST,2.0
BUiwu47RH84,NOTIFICATION,50.0
BUiwu47RH84,SHORTS,2.0
BUiwu47RH84,SHORTS_CONTENT_LINKS,1.0
zB61D7qZzdo,NO_LINK_OTHER,0
zB61D7qZzdo,SUBSCRIBER,223.0
zB61D7qZzdo,YT_CHANNEL,34.0
zB61D7qZzdo,YT_SEARCH,16.0
zB61D7qZzdo,YT_OTHER_PAGE,23.0
zB61D7qZzdo,EXT_URL,5.0
zB61D7qZzdo,PLAYLIST,1.0
zB61D7qZzdo,NOTIFICATION,12.0
zB61D7qZzdo,SHORTS,462.0
qfD7S1D5HQQ,NO_LINK_OTHER,1.0
qfD7S1D5HQQ,SUBSCRIBER,80.0
qfD7S1D5HQQ,YT_CHANNEL,46.0
qfD7S1D5HQQ,YT_SEARCH,23.0
qfD7S1D5HQQ,YT_OTHER_PAGE,2.0
qfD7S1D5HQQ,EXT_URL,2.0
qfD7S1D5HQQ,NOTIFICATION,46.0
qfD7S1D5HQQ,SHORTS,125.0
IeWAaD3ZTXw,NO_LINK_OTHER,52.0
IeWAaD3ZTXw,SUBSCRIBER,1863.0
IeWAaD3ZTXw,YT_CHANNEL,51.0
IeWAaD3ZTXw,YT_SEARCH,57.0
IeWAaD3ZTXw,RELATED_VIDEO,40.0
IeWAaD3ZTXw,YT_OTHER_PAGE,29.0
IeWAaD3ZTXw,EXT_URL,106.0
IeWAaD3ZTXw,PLAYLIST,1.0
IeWAaD3ZTXw,NOTIFICATION,53.0
IeWAaD3ZTXw,SHORTS,1.0
IeWAaD3ZTXw,SHORTS_CONTENT_LINKS,1.0
CEObm9Fv9co,NO_LINK_OTHER,1.0
CEObm9Fv9co,SUBSCRIBER,260.0
CEObm9Fv9co,YT_CHANNEL,62.0
CEObm9Fv9co,YT_SEARCH,360.0
CEObm9Fv9co,YT_OTHER_PAGE,14.0
CEObm9Fv9co,EXT_URL,9.0
CEObm9Fv9co,NOTIFICATION,56.0
CEObm9Fv9co,SHORTS,292.0
0MNE_inIGXU,NO_LINK_OTHER,1.0
0MNE_inIGXU,SUBSCRIBER,147.0
0MNE_inIGXU,YT_CHANNEL,38.0
0MNE_inIGXU,YT_SEARCH,38.0
0MNE_inIGXU,RELATED_VIDEO,2.0
0MNE_inIGXU,YT_OTHER_PAGE,34.0
0MNE_inIGXU,EXT_URL,49.0
0MNE_inIGXU,NOTIFICATION,42.0
0MNE_inIGXU,SHORTS,1098.0
0MNE_inIGXU,SOUND_PAGE,1.0
Rz6dxno88NY,NO_LINK_OTHER,97.0
Rz6dxno88NY,SUBSCRIBER,4374.0
Rz6dxno88NY,YT_CHANNEL,217.0
Rz6dxno88NY,YT_SEARCH,229.0
Rz6dxno88NY,RELATED_VIDEO,183.0
Rz6dxno88NY,YT_OTHER_PAGE,91.0
Rz6dxno88NY,EXT_URL,273.0
Rz6dxno88NY,PLAYLIST,4.0
Rz6dxno88NY,NOTIFICATION,69.0
Rz6dxno88NY,SHORTS,1.0
uIV_HWFfVYM,NO_LINK_OTHER,0
uIV_HWFfVYM,SUBSCRIBER,93.0
uIV_HWFfVYM,YT_CHANNEL,47.0
uIV_HWFfVYM,YT_SEARCH,39.0
uIV_HWFfVYM,YT_OTHER_PAGE,6.0
uIV_HWFfVYM,EXT_URL,40.0
uIV_HWFfVYM,NOTIFICATION,34.0
uIV_HWFfVYM,SHORTS,868.0
HuwZoWLdSOg,NO_LINK_OTHER,12.0
HuwZoWLdSOg,SUBSCRIBER,397.0
HuwZoWLdSOg,YT_CHANNEL,96.0
HuwZoWLdSOg,YT_SEARCH,9.0
HuwZoWLdSOg,RELATED_VIDEO,9.0
HuwZoWLdSOg,YT_OTHER_PAGE,13.0
